"STATION","NAME","DATE","AWND","DAEV","DAPR","DAWM","EVAP","MDEV","MDPR","MDWM","MNPN","MXPN","PRCP","SNOW","SNWD","TMAX","TMIN","TOBS","WDMV","WESD","WESF","WSFG","WT01","WT03","WT04","WT05","WT06","WT11"
"US1MDPG0075","GREENBELT 1.6 WNW, MD US","2015-04-14",,,,,,,,,,,"0.24",,,,,,,,,,,,,,,
"US1MDPG0075","GREENBELT 1.6 WNW, MD US","2015-04-15",,,,,,,,,,,"0.29",,,,,,,,,,,,,,,
"US1MDPG0075","GREENBELT 1.6 WNW, MD US","2015-04-19",,,"    4",,,,"0.18",,,,,,,,,,,,,,,,,,,
"US1MDPG0075","GREENBELT 1.6 WNW, MD US","2015-04-20",,,,,,,,,,,"0.90",,,,,,,,,,,,,,,
"US1MDPG0075","GREENBELT 1.6 WNW, MD US","2015-04-21",,,,,,,,,,,"0.31",,,,,,,,,,,,,,,
"US1MDPG0075","GREENBELT 1.6 WNW, MD US","2015-04-22",,,,,,,,,,,"0.00",,,,,,,,,,,,,,,
"US1MDPG0075","GREENBELT 1.6 WNW, MD US","2015-05-06",,,,,,,,,,,"0.07",,,,,,,,,,,,,,,
"US1MDPG0075","GREENBELT 1.6 WNW, MD US","2015-05-07",,,,,,,,,,,"0.02",,,,,,,,,,,,,,,
"US1MDPG0075","GREENBELT 1.6 WNW, MD US","2015-05-08",,,,,,,,,,,"0.00","0.0",,,,,,,,,,,,,,
"US1MDPG0075","GREENBELT 1.6 WNW, MD US","2015-05-10",,,"    3",,,,"0.01",,,,,,,,,,,,,,,,,,,
"US1MDPG0075","GREENBELT 1.6 WNW, MD US","2015-05-11",,,,,,,,,,,"0.00",,,,,,,,,,,,,,,
"US1MDPG0075","GREENBELT 1.6 WNW, MD US","2015-05-17",,,,,,,,,,,"0.21",,,,,,,,,,,,,,,
"US1MDPG0075","GREENBELT 1.6 WNW, MD US","2015-05-18",,,,,,,,,,,"0.00",,,,,,,,,,,,,,,
"US1MDPG0075","GREENBELT 1.6 WNW, MD US","2015-05-19",,,,,,,,,,,"1.40",,,,,,,,,,,,,,,
"US1MDPG0075","GREENBELT 1.6 WNW, MD US","2015-06-02",,,"   14",,,,"3.05",,,,,,,,,,,,,,,,,,,
"US1MDPG0075","GREENBELT 1.6 WNW, MD US","2015-06-03",,,,,,,,,,,"0.12",,,,,,,,,,,,,,,
"US1MDPG0075","GREENBELT 1.6 WNW, MD US","2015-06-04",,,,,,,,,,,"0.05",,,,,,,,,,,,,,,
"US1MDPG0075","GREENBELT 1.6 WNW, MD US","2015-06-05",,,,,,,,,,,"0.56",,,,,,,,,,,,,,,
"US1MDPG0075","GREENBELT 1.6 WNW, MD US","2015-06-06",,,,,,,,,,,"0.01",,,,,,,,,,,,,,,
"US1MDPG0075","GREENBELT 1.6 WNW, MD US","2015-06-07",,,,,,,,,,,"0.00","0.0",,,,,,,,,,,,,,
"US1MDPG0075","GREENBELT 1.6 WNW, MD US","2015-06-08",,,,,,,,,,,"0.00","0.0",,,,,,,,,,,,,,
"US1MDPG0075","GREENBELT 1.6 WNW, MD US","2015-06-09",,,,,,,,,,,"1.05",,,,,,,,,,,,,,,
"US1MDPG0075","GREENBELT 1.6 WNW, MD US","2015-06-10",,,,,,,,,,,"0.00","0.0",,,,,,,,,,,,,,
"US1MDPG0075","GREENBELT 1.6 WNW, MD US","2015-06-11",,,,,,,,,,,"0.00","0.0",,,,,,,,,,,,,,
"US1MDPG0075","GREENBELT 1.6 WNW, MD US","2015-06-12",,,,,,,,,,,"0.00","0.0",,,,,,,,,,,,,,
"US1MDPG0075","GREENBELT 1.6 WNW, MD US","2015-06-14",,,,,,,,,,,"0.95",,,,,,,,,,,,,,,
"US1MDPG0075","GREENBELT 1.6 WNW, MD US","2015-06-15",,,,,,,,,,,"0.21",,,,,,,,,,,,,,,
"US1MDPG0075","GREENBELT 1.6 WNW, MD US","2015-06-16",,,,,,,,,,,"0.01",,,,,,,,,,,,,,,
"US1MDPG0075","GREENBELT 1.6 WNW, MD US","2015-06-17",,,,,,,,,,,"0.00",,,,,,,,,,,,,,,
"US1MDPG0075","GREENBELT 1.6 WNW, MD US","2015-06-18",,,,,,,,,,,"0.63",,,,,,,,,,,,,,,
"US1MDPG0075","GREENBELT 1.6 WNW, MD US","2015-06-19",,,,,,,,,,,"1.15",,,,,,,,,,,,,,,
"US1MDPG0075","GREENBELT 1.6 WNW, MD US","2015-06-21",,,,,,,,,,,"1.65",,,,,,,,,,,,,,,
"US1MDPG0075","GREENBELT 1.6 WNW, MD US","2015-06-22",,,,,,,,,,,"0.00",,,,,,,,,,,,,,,
"US1MDPG0075","GREENBELT 1.6 WNW, MD US","2015-06-23",,,,,,,,,,,"0.00",,,,,,,,,,,,,,,
"US1MDPG0075","GREENBELT 1.6 WNW, MD US","2015-06-24",,,,,,,,,,,"0.82",,,,,,,,,,,,,,,
"US1MDPG0075","GREENBELT 1.6 WNW, MD US","2015-06-25",,,,,,,,,,,"0.00","0.0",,,,,,,,,,,,,,
"US1MDPG0075","GREENBELT 1.6 WNW, MD US","2015-06-26",,,,,,,,,,,"0.80",,,,,,,,,,,,,,,
"US1MDPG0075","GREENBELT 1.6 WNW, MD US","2015-06-27",,,,,,,,,,,"0.08",,,,,,,,,,,,,,,
"US1MDPG0075","GREENBELT 1.6 WNW, MD US","2015-06-28",,,,,,,,,,,"2.87",,,,,,,,,,,,,,,
"US1MDPG0075","GREENBELT 1.6 WNW, MD US","2015-06-29",,,,,,,,,,,"0.01",,,,,,,,,,,,,,,
"US1MDPG0075","GREENBELT 1.6 WNW, MD US","2015-06-30",,,,,,,,,,,"0.00",,,,,,,,,,,,,,,
"US1MDPG0075","GREENBELT 1.6 WNW, MD US","2015-07-01",,,,,,,,,,,"0.59",,,,,,,,,,,,,,,
